Brooks, Kentucky	Census-designated places in Kentucky, Bullitt County, Kentucky
Boswell, Indiana	Towns in Indiana
Oxford, Indiana	Towns in Indiana
Rush County, Indiana	1822 establishments in Indiana, Indiana counties
Brookville, Indiana	Towns in Indiana, County seats in Indiana
Washington County, Indiana	1810s establishments in Indiana Territory, 1814 establishments in the United States, Indiana counties
Bracken County, Kentucky	1790s establishments in Kentucky, 1796 establishments in the United States, Kentucky counties
Warrick County, Indiana	1810s establishments in Indiana Territory, 1813 establishments in the United States, Indiana counties
Buffalo Gap, Texas	Towns in Texas
Tye, Texas	Cities in Texas
Bellmead, Texas	Cities in Texas
Ben & Holly's Little Kingdom	2009 establishments, Children's television series, English-language television programs
A Star Is Born (2018 soundtrack)	2018 albums
Breckinridge County, Kentucky	1790s establishments in Kentucky, 1799 establishments in the United States, Kentucky counties
Evant, Texas	Towns in Texas
Caroline Flack	1979 births, 2020 deaths, Entertainers who committed suicide, People from Norfolk, Suicide in 2020, Suicides by hanging in the United Kingdom, Television personalities from London
DJ Khaled	American DJs, American hip hop musicians, American record producers, American songwriters, Living people, 1975 births
Dua Lipa	English R&B singers, English pop singers, Living people, Singers from London, 1995 births, Brit Award winners, English activists, English models, English singer-songwriters, Models from London, Grammy Award winners
Early world maps	Cartography, Cartographers
Christophoros (Rakintzakis)	1931 births, 2020 deaths, People from Athens
No Time to Die (song)	2020 songs, Billie Eilish songs
Tony Fernández	1962 births, 2020 deaths, Deaths from kidney disease, Deaths from stroke, American League All-Stars, National League All-Stars, Cincinnati Reds players, Cleveland Indians players, Major League Baseball shortstops, Milwaukee Brewers players, New York Mets players, New York Yankees players, San Diego Padres players, Toronto Blue Jays players
Jerzy Gruza	1932 births, 2020 deaths, Polish movie directors, Polish screenwriters, Television writers, Television directors, People from Warsaw
José Zalaquett	1942 births, 2020 deaths, Deaths from Parkinson's disease, Chilean lawyers, Chilean people, Human rights activists
Couque de Dinant	Sweet breads, Belgian culture, History of Belgium, Christmas
Boone County, Kentucky	1798 establishments in Kentucky, Kentucky counties
Newport (city), Vermont	Cities in Vermont, County seats in Vermont
Lancaster, New Hampshire	Towns in New Hampshire, County seats in New Hampshire
Edmonson County, Kentucky	1825 establishments in Kentucky, Kentucky counties
Wörgl	Cities and towns in Tyrol (state)
Zygomatic bone	Bones of the skull
Sphenoid bone	Bones of the skull
Burhan Kuzu	1955 births, 2020 deaths, Turkish politicians, Deaths from the COVID-19 pandemic in Turkey
Hamza Dag	1980 births, Living people, Turkish politicians
Bayview Stadium	1990s establishments in Scotland, 1998 establishments in the United Kingdom, Football stadiums in Scotland, Fife
Disappearance of Dulce Avalez	Missing people
Duchy of Warsaw	History of Poland, States and territories established in the 19th century, States and territories disestablished in the 19th century, Puppet states
Battle of Gonzales	1830s in Texas, 1835, Battles, October events
Bunker Hill Village, Texas	Cities in Texas
Shoreacres, Texas	Cities in Texas
Cloverleaf, Texas	Census-designated places in Texas
Neil Sanderson	1978 births, Canadian drummers, Canadian rock musicians, Rock drummers, Heavy metal musicians, Musicians from Ontario, Canadian Christians, Living people
Missouri City, Texas	Cities in Texas
Palisades, Texas	Villages in Texas
Timbercreek Canyon, Texas	Villages in Texas
Technophobia	Phobias
Uncertain, Texas	Cities in Texas
Hedwig Village, Texas	Cities in Texas
Taylor Lake Village, Texas	Cities in Texas
Tomball, Texas	Cities in Texas
Old River-Winfree, Texas	Cities in Texas
Beach City, Texas	Cities in Texas
Pando (tree)	Malpighiales, Trees, Utah
Arcola, Texas	Cities in Texas
Beasley, Texas	Cities in Texas
Graeme Allwright	1926 births, 2020 deaths, Folk singers, French singers, French songwriters, New Zealand singers, People from Wellington
Luke Evans	1979 births, Living people, Gay men, LGBT actors, Welsh LGBT people, Welsh movie actors, Welsh singers, Welsh stage actors, Welsh television actors, Welsh voice actors
