Recycling symbol	Recycling, Symbols, Waste
Love (1927 movie)	1927 movies, 1920s romance movies, 1920s drama movies, American romantic drama movies, American silent movies, Movies based on books, Movies directed by Edmund Goulding
Young Cassidy	1965 drama movies, British biographical movies, British drama movies, Irish movies, MGM movies, Movies directed by John Ford, Movies directed by Jack Cardiff
Mariano Fortuny	1871 births, 1949 deaths, Spanish fashion designers
The Jackals	1967 movies, 1960s western movies, South African movies, Movie remakes, Movies directed by Robert D. Webb
Isabella II of Spain	1830 births, 1904 deaths, Spanish House of Bourbon, People from Madrid, Princes and Princesses of Asturias, Kings and Queens of Spain, Spanish infantes and infantas
Wilhelm, Landgrave of Hesse-Philippsthal-Barchfeld	1933 births, Living people, Princes and princesses, People from Hesse
Adolfo Nicolás	1936 births, 2020 deaths, Disease-related deaths in Japan, Jesuits, Roman Catholic priests, Spanish Roman Catholics
Salah Stétié	1929 births, 2020 deaths, Lebanese politicians, Ambassadors of Lebanon, Lebanese poets, Translators, Historians, People from Beirut
Home (2015 movie)	2010s adventure movies, 2015 animated movies, 2015 comedy movies, 2015 science fiction movies, 20th Century Fox movies, American adventure movies, American animated movies, American buddy movies, American comedy movies, American family movies, American fantasy movies, American musical movies, American science fiction movies, English-language movies, Movies set in Paris, Movies set in the United States, Universal Pictures movies
Bob Smith (New Hampshire politician)	1941 births, Living people, 2000 United States presidential candidates, United States senators from New Hampshire, United States representatives from New Hampshire, American military personnel of the Vietnam War, American Roman Catholics, Politicians from New Jersey, Politicians from Florida, People from Trenton, New Jersey, US Republican Party politicians
Salisbury, North Carolina	Cities in North Carolina, County seats in North Carolina
Rowan County, North Carolina	1750s establishments in North Carolina, 1753 establishments, North Carolina counties
Miss Universe 2009	2009 in North America, NBC network shows
McKees Rocks, Pennsylvania	Boroughs in Pennsylvania
Watkins, Minnesota	Cities in Minnesota
Litchfield, Minnesota	Cities in Minnesota, County seats in Minnesota
Midkiff, West Virginia	Unincorporated communities in West Virginia
Lincoln County, West Virginia	West Virginia counties
Hamlin, West Virginia	Towns in West Virginia, County seats in West Virginia
Teays Valley, West Virginia	Census-designated places, Settlements in West Virginia
Putnam County, West Virginia	West Virginia counties
Winfield, West Virginia	Towns in West Virginia, County seats in West Virginia
Doland, South Dakota	Cities in South Dakota
Gunnar Berge	1940 births, Living people, Norwegian politicians, Norwegian Nobel Committee
Berit Reiss-Andersen	1954 births, Living people, Norwegian politicians, Norwegian writers, Lawyers
Erin O'Toole	1973 births, Living people, Politicians from Montreal, Privy Councillors (Canada), Leaders of the Opposition (Canada), Members of the House of Commons of Canada from Ontario
Donn Trenner	1927 births, 2020 deaths, American jazz musicians, American pianists, Musicians from New Haven, Connecticut
Tom Tiffany	1957 births, 21st-century American politicians, Businesspeople from Wisconsin, Living people, State legislators of the United States, US Republican Party politicians, United States representatives from Wisconsin
Andre Drummond	1993 births, Living people, Detroit Pistons players, Cleveland Cavaliers players, Sportspeople from New York, Sportspeople from Hartford, Connecticut
Stu Griffing	1926 births, Living people, American Olympic bronze medalists, Sportspeople from New Haven, Connecticut
Sigean	Communes in Aude
Farmington, Connecticut	Towns in Connecticut
Sonnac-sur-l'Hers	Communes in Aude
Glastonbury, Connecticut	Towns in Connecticut
Souilhanels	Communes in Aude
Souilhe	Communes in Aude
Soulatgé	Communes in Aude
