Oil tanker	Ship types
Castillon (Canton of Arthez-de-Béarn)	Communes in Pyrénées-Atlantiques
Castillon (Canton of Lembeye)	Communes in Pyrénées-Atlantiques
Castéra-Loubix	Communes in Pyrénées-Atlantiques
Castétis	Communes in Pyrénées-Atlantiques
Caubios-Loos	Communes in Pyrénées-Atlantiques
Cescau, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Cette-Eygun	Communes in Pyrénées-Atlantiques
Charre	Communes in Pyrénées-Atlantiques
Charritte-de-Bas	Communes in Pyrénées-Atlantiques
Chéraute	Communes in Pyrénées-Atlantiques
Ciboure	Communes in Pyrénées-Atlantiques
Claracq	Communes in Pyrénées-Atlantiques
Coarraze	Communes in Pyrénées-Atlantiques
Conchez-de-Béarn	Communes in Pyrénées-Atlantiques
Corbère-Abères	Communes in Pyrénées-Atlantiques
Coslédaà-Lube-Boast	Communes in Pyrénées-Atlantiques
Coublucq	Communes in Pyrénées-Atlantiques
Crouseilles	Communes in Pyrénées-Atlantiques
Cuqueron	Communes in Pyrénées-Atlantiques
Denguin	Communes in Pyrénées-Atlantiques
Diusse	Communes in Pyrénées-Atlantiques
Doazon	Communes in Pyrénées-Atlantiques
Dognen	Communes in Pyrénées-Atlantiques
Domezain-Berraute	Communes in Pyrénées-Atlantiques
Doumy	Communes in Pyrénées-Atlantiques
Eaux-Bonnes	Communes in Pyrénées-Atlantiques
Escos	Communes in Pyrénées-Atlantiques
Escot	Communes in Pyrénées-Atlantiques
Escou	Communes in Pyrénées-Atlantiques
Escoubès	Communes in Pyrénées-Atlantiques
Escout	Communes in Pyrénées-Atlantiques
Escurès	Communes in Pyrénées-Atlantiques
Eslourenties-Daban	Communes in Pyrénées-Atlantiques
Espelette	Communes in Pyrénées-Atlantiques
Espiute	Communes in Pyrénées-Atlantiques
Espoey	Communes in Pyrénées-Atlantiques
Espès-Undurein	Communes in Pyrénées-Atlantiques
Espéchède	Communes in Pyrénées-Atlantiques
Esquiule	Communes in Pyrénées-Atlantiques
Estialescq	Communes in Pyrénées-Atlantiques
Estos	Communes in Pyrénées-Atlantiques
Estérençuby	Communes in Pyrénées-Atlantiques
Etcharry	Communes in Pyrénées-Atlantiques
Etchebar	Communes in Pyrénées-Atlantiques
Etsaut	Communes in Pyrénées-Atlantiques
Eysus	Communes in Pyrénées-Atlantiques
Fichous-Riumayou	Communes in Pyrénées-Atlantiques
Féas	Former communes in Pyrénées-Atlantiques
Gabaston	Communes in Pyrénées-Atlantiques
Gabat	Communes in Pyrénées-Atlantiques
Gamarthe	Communes in Pyrénées-Atlantiques
Gan, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Garindein	Communes in Pyrénées-Atlantiques
Garlin	Communes in Pyrénées-Atlantiques
Garlède-Mondebat	Communes in Pyrénées-Atlantiques
Garos	Communes in Pyrénées-Atlantiques
Garris	Communes in Pyrénées-Atlantiques
Gayon	Communes in Pyrénées-Atlantiques
Gelos	Communes in Pyrénées-Atlantiques
Ger, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Gerderest	Communes in Pyrénées-Atlantiques
Gestas, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Geüs-d'Oloron	Communes in Pyrénées-Atlantiques
Gomer, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Gotein-Libarrenx	Communes in Pyrénées-Atlantiques
Goès	Communes in Pyrénées-Atlantiques
Guiche, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Guinarthe-Parenties	Communes in Pyrénées-Atlantiques
Gurmençon	Communes in Pyrénées-Atlantiques
Gurs	Communes in Pyrénées-Atlantiques
Guéthary	Communes in Pyrénées-Atlantiques
Gère-Bélesten	Communes in Pyrénées-Atlantiques
Géronce	Communes in Pyrénées-Atlantiques
Géus-d'Arzacq	Communes in Pyrénées-Atlantiques
Hagetaubin	Communes in Pyrénées-Atlantiques
Halsou	Communes in Pyrénées-Atlantiques
Hasparren	Communes in Pyrénées-Atlantiques
Haut-de-Bosdarros	Communes in Pyrénées-Atlantiques
Haux, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Hendaye	Communes in Pyrénées-Atlantiques
Herrère	Communes in Pyrénées-Atlantiques
Higuères-Souye	Communes in Pyrénées-Atlantiques
Hosta, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Hours, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Hélette	Communes in Pyrénées-Atlantiques
Ibarrolle	Communes in Pyrénées-Atlantiques
Idaux-Mendy	Communes in Pyrénées-Atlantiques
Idron	Communes in Pyrénées-Atlantiques
Igon	Communes in Pyrénées-Atlantiques
Iholdy	Communes in Pyrénées-Atlantiques
Ilharre	Communes in Pyrénées-Atlantiques
Irissarry	Communes in Pyrénées-Atlantiques
Irouléguy	Communes in Pyrénées-Atlantiques
Ispoure	Communes in Pyrénées-Atlantiques
Issor	Communes in Pyrénées-Atlantiques
Isturits	Communes in Pyrénées-Atlantiques
Itxassou	Communes in Pyrénées-Atlantiques
Izeste	Communes in Pyrénées-Atlantiques
Jasses	Communes in Pyrénées-Atlantiques
Jatxou	Communes in Pyrénées-Atlantiques
Jaxu	Communes in Pyrénées-Atlantiques
Jurançon	Communes in Pyrénées-Atlantiques
Juxue	Communes in Pyrénées-Atlantiques
L'Hôpital-Saint-Blaise	Communes in Pyrénées-Atlantiques
L'Hôpital-d'Orion	Communes in Pyrénées-Atlantiques
La Bastide-Clairence	Communes in Pyrénées-Atlantiques
Labastide-Cézéracq	Communes in Pyrénées-Atlantiques
Labastide-Monréjeau	Communes in Pyrénées-Atlantiques
Labastide-Villefranche	Communes in Pyrénées-Atlantiques
Labatmale	Communes in Pyrénées-Atlantiques
Labatut, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Labets-Biscay	Communes in Pyrénées-Atlantiques
Labeyrie, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Lacadée	Communes in Pyrénées-Atlantiques
Lacarre	Communes in Pyrénées-Atlantiques
Lacarry-Arhan-Charritte-de-Haut	Communes in Pyrénées-Atlantiques
Lacommande	Communes in Pyrénées-Atlantiques
Lacq	Communes in Pyrénées-Atlantiques
Lagor	Communes in Pyrénées-Atlantiques
Lagos, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Laguinge-Restoue	Communes in Pyrénées-Atlantiques
Lahonce	Communes in Pyrénées-Atlantiques
Lahontan, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Lahourcade	Communes in Pyrénées-Atlantiques
Lalongue	Communes in Pyrénées-Atlantiques
Lalonquette	Communes in Pyrénées-Atlantiques
Lamayou	Communes in Pyrénées-Atlantiques
Lanne-en-Barétous	Communes in Pyrénées-Atlantiques
Lannecaube	Communes in Pyrénées-Atlantiques
Lanneplaà	Communes in Pyrénées-Atlantiques
Lantabat	Communes in Pyrénées-Atlantiques
Larceveau-Arros-Cibits	Communes in Pyrénées-Atlantiques
Laroin	Communes in Pyrénées-Atlantiques
Larrau	Communes in Pyrénées-Atlantiques
Larressore	Communes in Pyrénées-Atlantiques
Larreule, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Larribar-Sorhapuru	Communes in Pyrénées-Atlantiques
Laruns	Communes in Pyrénées-Atlantiques
Lasclaveries	Communes in Pyrénées-Atlantiques
Lasse, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Lasserre, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Lasseube	Communes in Pyrénées-Atlantiques
Lasseubetat	Communes in Pyrénées-Atlantiques
Lay-Lamidou	Communes in Pyrénées-Atlantiques
Laà-Mondrans	Communes in Pyrénées-Atlantiques
Laàs	Communes in Pyrénées-Atlantiques
Lecumberry	Communes in Pyrénées-Atlantiques
Ledeuix	Communes in Pyrénées-Atlantiques
Lembeye	Communes in Pyrénées-Atlantiques
Lescar	Communes in Pyrénées-Atlantiques
Lescun	Communes in Pyrénées-Atlantiques
Lespielle	Communes in Pyrénées-Atlantiques
Lespourcy	Communes in Pyrénées-Atlantiques
Lestelle-Bétharram	Communes in Pyrénées-Atlantiques
Lichans-Sunhar	Communes in Pyrénées-Atlantiques
Lichos	Communes in Pyrénées-Atlantiques
Licq-Athérey	Communes in Pyrénées-Atlantiques
Limendous	Communes in Pyrénées-Atlantiques
Livron	Communes in Pyrénées-Atlantiques
Lohitzun-Oyhercq	Communes in Pyrénées-Atlantiques
Lombia	Communes in Pyrénées-Atlantiques
Lons	Communes in Pyrénées-Atlantiques
Lonçon	Communes in Pyrénées-Atlantiques
Loubieng	Communes in Pyrénées-Atlantiques
Louhossoa	Communes in Pyrénées-Atlantiques
Lourdios-Ichère	Communes in Pyrénées-Atlantiques
Lourenties	Communes in Pyrénées-Atlantiques
Louvie-Juzon	Communes in Pyrénées-Atlantiques
Louvie-Soubiron	Communes in Pyrénées-Atlantiques
Louvigny, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Luc-Armau	Communes in Pyrénées-Atlantiques
Lucarré	Communes in Pyrénées-Atlantiques
Lucgarier	Communes in Pyrénées-Atlantiques
Lucq-de-Béarn	Communes in Pyrénées-Atlantiques
Lurbe-Saint-Christau	Communes in Pyrénées-Atlantiques
Lussagnet-Lusson	Communes in Pyrénées-Atlantiques
Luxe-Sumberraute	Communes in Pyrénées-Atlantiques
Lys, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Lème	Communes in Pyrénées-Atlantiques
Lée	Communes in Pyrénées-Atlantiques
Lées-Athas	Communes in Pyrénées-Atlantiques
Léren	Communes in Pyrénées-Atlantiques
Macaye	Communes in Pyrénées-Atlantiques
Malaussanne	Communes in Pyrénées-Atlantiques
Mascaraàs-Haron	Communes in Pyrénées-Atlantiques
Maslacq	Communes in Pyrénées-Atlantiques
Masparraute	Communes in Pyrénées-Atlantiques
Maspie-Lalonquère-Juillacq	Communes in Pyrénées-Atlantiques
Maucor	Communes in Pyrénées-Atlantiques
Mauléon-Licharre	Communes in Pyrénées-Atlantiques
Maure, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Mazerolles, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Mazères-Lezons	Communes in Pyrénées-Atlantiques
Meillon	Communes in Pyrénées-Atlantiques
Mendionde	Communes in Pyrénées-Atlantiques
Menditte	Communes in Pyrénées-Atlantiques
Mendive	Communes in Pyrénées-Atlantiques
Mesplède	Communes in Pyrénées-Atlantiques
Mialos	Communes in Pyrénées-Atlantiques
Miossens-Lanusse	Communes in Pyrénées-Atlantiques
Mirepeix	Communes in Pyrénées-Atlantiques
Momas	Communes in Pyrénées-Atlantiques
Momy	Communes in Pyrénées-Atlantiques
Monassut-Audiracq	Communes in Pyrénées-Atlantiques
Moncaup, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Moncayolle-Larrory-Mendibieu	Communes in Pyrénées-Atlantiques
Moncla	Communes in Pyrénées-Atlantiques
Monein	Communes in Pyrénées-Atlantiques
Monpezat	Communes in Pyrénées-Atlantiques
Monségur, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Mont, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Mont-Disse	Communes in Pyrénées-Atlantiques
Montagut, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Montaner	Communes in Pyrénées-Atlantiques
Montardon	Communes in Pyrénées-Atlantiques
Montaut, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Montfort, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Montory	Communes in Pyrénées-Atlantiques
Morlanne	Communes in Pyrénées-Atlantiques
Morlaàs	Communes in Pyrénées-Atlantiques
Mouguerre	Communes in Pyrénées-Atlantiques
Mouhous	Communes in Pyrénées-Atlantiques
Moumour	Communes in Pyrénées-Atlantiques
Mourenx	Communes in Pyrénées-Atlantiques
Musculdy	Communes in Pyrénées-Atlantiques
Méharin	Communes in Pyrénées-Atlantiques
Méracq	Communes in Pyrénées-Atlantiques
Méritein	Communes in Pyrénées-Atlantiques
Nabas, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Narcastet	Communes in Pyrénées-Atlantiques
Narp	Communes in Pyrénées-Atlantiques
Navailles-Angos	Communes in Pyrénées-Atlantiques
Navarrenx	Communes in Pyrénées-Atlantiques
Nay, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Noguères	Communes in Pyrénées-Atlantiques
Nousty	Communes in Pyrénées-Atlantiques
Ogenne-Camptort	Communes in Pyrénées-Atlantiques
Ogeu-les-Bains	Communes in Pyrénées-Atlantiques
Oloron-Sainte-Marie	Subprefectures in France, Communes in Pyrénées-Atlantiques
Oraàs	Communes in Pyrénées-Atlantiques
Ordiarp	Communes in Pyrénées-Atlantiques
Orin, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Orion, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Orriule	Communes in Pyrénées-Atlantiques
Orsanco	Communes in Pyrénées-Atlantiques
Orthez	Communes in Pyrénées-Atlantiques
Orègue	Communes in Pyrénées-Atlantiques
Os-Marsillon	Communes in Pyrénées-Atlantiques
Ossas-Suhare	Communes in Pyrénées-Atlantiques
Osse-en-Aspe	Communes in Pyrénées-Atlantiques
Ossenx	Communes in Pyrénées-Atlantiques
Osserain-Rivareyte	Communes in Pyrénées-Atlantiques
Ossès	Communes in Pyrénées-Atlantiques
Ostabat-Asme	Communes in Pyrénées-Atlantiques
Ouillon	Communes in Pyrénées-Atlantiques
Ousse	Communes in Pyrénées-Atlantiques
Ozenx-Montestrucq	Communes in Pyrénées-Atlantiques
Pagolle	Communes in Pyrénées-Atlantiques
Parbayse	Communes in Pyrénées-Atlantiques
Pardies	Communes in Pyrénées-Atlantiques
Pardies-Piétat	Communes in Pyrénées-Atlantiques
Peyrelongue-Abos	Communes in Pyrénées-Atlantiques
Piets-Plasence-Moustrou	Communes in Pyrénées-Atlantiques
Poey-d'Oloron	Communes in Pyrénées-Atlantiques
Poey-de-Lescar	Communes in Pyrénées-Atlantiques
Pomps	Communes in Pyrénées-Atlantiques
Ponson-Debat-Pouts	Communes in Pyrénées-Atlantiques
Ponson-Dessus	Communes in Pyrénées-Atlantiques
Pontacq	Communes in Pyrénées-Atlantiques
Pontiacq-Viellepinte	Communes in Pyrénées-Atlantiques
Portet	Communes in Pyrénées-Atlantiques
Pouliacq	Communes in Pyrénées-Atlantiques
Poursiugues-Boucoue	Communes in Pyrénées-Atlantiques
Préchacq-Josbaig	Communes in Pyrénées-Atlantiques
Préchacq-Navarrenx	Communes in Pyrénées-Atlantiques
Précilhon	Communes in Pyrénées-Atlantiques
Puyoô	Communes in Pyrénées-Atlantiques
Ramous	Communes in Pyrénées-Atlantiques
Ribarrouy	Communes in Pyrénées-Atlantiques
Riupeyrous	Communes in Pyrénées-Atlantiques
Rivehaute	Communes in Pyrénées-Atlantiques
Rontignon	Communes in Pyrénées-Atlantiques
Roquiague	Communes in Pyrénées-Atlantiques
Rébénacq	Communes in Pyrénées-Atlantiques
Saint-Abit	Communes in Pyrénées-Atlantiques
Saint-Armou	Communes in Pyrénées-Atlantiques
Saint-Boès	Communes in Pyrénées-Atlantiques
Saint-Castin	Communes in Pyrénées-Atlantiques
Saint-Dos	Communes in Pyrénées-Atlantiques
Saint-Esteben	Communes in Pyrénées-Atlantiques
Saint-Faust	Communes in Pyrénées-Atlantiques
Saint-Girons-en-Béarn	Communes in Pyrénées-Atlantiques
Saint-Gladie-Arrive-Munein	Communes in Pyrénées-Atlantiques
Saint-Goin	Communes in Pyrénées-Atlantiques
Saint-Jammes	Communes in Pyrénées-Atlantiques
Saint-Jean-Pied-de-Port	Communes in Pyrénées-Atlantiques
Saint-Jean-Poudge	Communes in Pyrénées-Atlantiques
Saint-Jean-de-Luz	Communes in Pyrénées-Atlantiques
Saint-Jean-le-Vieux, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Saint-Just-Ibarre	Communes in Pyrénées-Atlantiques
Saint-Laurent-Bretagne	Communes in Pyrénées-Atlantiques
Saint-Martin-d'Arberoue	Communes in Pyrénées-Atlantiques
Saint-Martin-d'Arrossa	Communes in Pyrénées-Atlantiques
Saint-Michel, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Saint-Médard, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Saint-Palais, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Saint-Pierre-d'Irube	Communes in Pyrénées-Atlantiques
Saint-Pé-de-Léren	Communes in Pyrénées-Atlantiques
Saint-Pée-sur-Nivelle	Communes in Pyrénées-Atlantiques
Saint-Vincent, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Saint-Étienne-de-Baïgorry	Communes in Pyrénées-Atlantiques
Sainte-Colome	Communes in Pyrénées-Atlantiques
Sainte-Engrâce	Communes in Pyrénées-Atlantiques
Salies-de-Béarn	Communes in Pyrénées-Atlantiques
Salles-Mongiscard	Communes in Pyrénées-Atlantiques
Sallespisse	Communes in Pyrénées-Atlantiques
Sames, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Samsons-Lion	Communes in Pyrénées-Atlantiques
Sare	Communes in Pyrénées-Atlantiques
Sarpourenx	Communes in Pyrénées-Atlantiques
Sarrance	Communes in Pyrénées-Atlantiques
Saubole	Communes in Pyrénées-Atlantiques
Saucède	Communes in Pyrénées-Atlantiques
Sauguis-Saint-Étienne	Communes in Pyrénées-Atlantiques
Sault-de-Navailles	Communes in Pyrénées-Atlantiques
Sauvagnon	Communes in Pyrénées-Atlantiques
Sauvelade	Communes in Pyrénées-Atlantiques
Sauveterre-de-Béarn	Communes in Pyrénées-Atlantiques
Sedze-Maubecq	Communes in Pyrénées-Atlantiques
Sedzère	Communes in Pyrénées-Atlantiques
Sendets, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Serres-Castet	Communes in Pyrénées-Atlantiques
Serres-Morlaàs	Communes in Pyrénées-Atlantiques
Serres-Sainte-Marie	Communes in Pyrénées-Atlantiques
Simacourbe	Communes in Pyrénées-Atlantiques
Siros, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Soumoulou	Communes in Pyrénées-Atlantiques
Souraïde	Communes in Pyrénées-Atlantiques
Suhescun	Communes in Pyrénées-Atlantiques
Sus, Pyrénées-Atlantiques	Communes in Pyrénées-Atlantiques
Susmiou	Communes in Pyrénées-Atlantiques
Séby	Communes in Pyrénées-Atlantiques
Séméacq-Blachon	Communes in Pyrénées-Atlantiques
Sévignacq	Communes in Pyrénées-Atlantiques
Sévignacq-Meyracq	Communes in Pyrénées-Atlantiques
Tabaille-Usquain	Communes in Pyrénées-Atlantiques
Tadousse-Ussau	Communes in Pyrénées-Atlantiques
Tardets-Sorholus	Communes in Pyrénées-Atlantiques
Taron-Sadirac-Viellenave	Communes in Pyrénées-Atlantiques
